,Volumes(>200D),Volumes(All),DollarVolumes(>200D),DollarVolumes(All),prices
2020-10-02 05:00:00,27.35633141,10632.625290330227,285543.19875106716,110982492.1704437,10437.92
2020-10-02 06:00:00,185.11901700999996,54334.269805529955,1944375.3808824932,570693482.7900072,10503.38
2020-10-02 07:00:00,1179.9428605999965,103131.68174507955,12378957.541983653,1081969942.9398913,10491.15
2020-10-02 08:00:00,1091.1637226500004,248041.10202294987,11405607.04374366,2592699227.1152887,10452.7
2020-10-02 09:00:00,125.56551943000001,19806.767220360045,1311998.9541786294,206955364.7907204,10448.72
2020-10-02 10:00:00,291.2367839500001,133186.37808690936,3047047.377869839,1393454489.551604,10462.44
2020-10-02 11:00:00,214.28915062000002,77394.33789073002,2236540.1508039525,807766252.452307,10437.02
2020-10-02 12:00:00,83.18836494,151480.57982599994,872566.0873902576,1588885861.0181067,10489.04
2020-10-02 13:00:00,1100.1394580200001,148305.42289046012,11583962.428799912,1561587882.5420156,10529.54
2020-10-02 14:00:00,494.6472692999997,132494.87424437108,5205479.896150864,1394325708.4955487,10523.62
2020-10-02 15:00:00,20.579271510000005,43072.01044076012,216447.63292430257,453020637.8133047,10517.75
2020-10-02 16:00:00,1409.7209412500004,293443.8568304299,14872034.333439242,3095724115.334008,10549.63
2020-10-02 17:00:00,1719.5213800199995,60065.60611730989,18129223.42339926,633282497.1038994,10543.18
2020-10-02 18:00:00,257.35948983000014,159472.1602144497,2716429.4151556515,1683228651.0635166,10555.0
2020-10-02 19:00:00,55.21467664000001,51539.94605909992,580589.5027775632,541949233.0044234,10515.13
2020-10-02 20:00:00,340.26120277,55009.47912525004,3588428.670532697,580135467.8027993,10546.1
2020-10-02 21:00:00,138.8167159,176731.2674778999,1453696.9779077538,1850740436.9046164,10472.06
2020-10-02 22:00:00,229.19000921999998,133919.90272667,2419238.0613226322,1413604925.221638,10555.6
2020-10-02 23:00:00,40.23766824000001,71805.96740336034,425437.69482170895,759213110.0718173,10573.12
2020-10-03 00:00:00,376.87772574,101031.64829331977,3976169.3010974647,1065913188.6725286,10550.29
2020-10-03 01:00:00,34.94423929999999,94816.41699619983,368281.5312914159,999281596.6929897,10539.12
2020-10-03 02:00:00,119.62196569000007,78860.7382672099,1261532.0539470837,831664557.1586132,10545.99
2020-10-03 03:00:00,25.43514582,45414.38135568983,268466.692372809,479346524.4902384,10554.95
2020-10-03 04:00:00,455.8792557899997,94047.17229209952,4814896.406217703,993305543.371251,10561.78
2020-10-03 05:00:00,23.17130866,21755.88321672988,244289.314375215,229366837.78317896,10542.75
2020-10-03 06:00:00,43.15384083999999,50686.89274979985,454413.3963524671,533737035.60681236,10530.08
2020-10-03 07:00:00,1496.7289096599998,175098.47518987991,15760480.582274316,1843778188.8256762,10529.95
2020-10-03 08:00:00,50.30775200999998,64938.05347577964,528793.3336949516,682574919.5530107,10511.17
2020-10-03 09:00:00,236.16160067000007,127102.40736918988,2486469.921742216,1338220574.4198422,10528.68
2020-10-03 10:00:00,5.431570319999999,38060.67494974962,57317.56916875439,401641742.7219743,10552.67
2020-10-03 11:00:00,139.76606069,117650.58103077048,1473423.595418228,1240280660.7670546,10542.07
2020-10-03 12:00:00,153.75767111000005,154868.3170917404,1620467.4715954012,1632172680.6615615,10539.1
2020-10-03 13:00:00,69.29731802999999,73239.18652878959,729969.6324498563,771492802.1918861,10533.88
2020-10-03 14:00:00,62.39767685000001,52100.9577274198,657734.5356526186,549196716.4143094,10541.01
2020-10-03 15:00:00,215.16221183,197805.81165253,2269969.941294973,2086859225.1666582,10550.04
2020-10-03 16:00:00,139.76173224000004,51800.07845089957,1478992.1933794175,548160862.1862475,10582.24
2020-10-03 17:00:00,144.66259851999996,93496.89635536961,1531609.4753265586,989894650.2866217,10587.46
2020-10-03 18:00:00,76.47648448000001,16559.19726562004,809160.2088054849,175204752.26086554,10580.51
2020-10-03 19:00:00,89.40440047000001,23225.848184420112,946725.5476769477,245944312.88687065,10589.25
2020-10-03 20:00:00,47.77569516000001,90028.43649590004,505086.08250237495,951783331.48775,10572.03
2020-10-03 21:00:00,54.47673342,32590.54216170978,576288.1169241463,344762635.21728474,10578.61
