,5m-7.5m,7.5m-10m,10m-20m,20m+,prices
2020-10-05 06:00:00,8.0,0.0,1.0,1.0,10643.71
2020-10-05 07:00:00,8.0,0.0,1.0,3.0,10693.44
2020-10-05 08:00:00,3.0,0.0,1.0,0.0,10674.66
2020-10-05 09:00:00,0.0,0.0,0.0,0.0,10682.98
2020-10-05 10:00:00,1.0,2.0,0.0,1.0,10679.55
2020-10-05 11:00:00,0.0,0.0,1.0,1.0,10667.54
2020-10-05 12:00:00,1.0,4.0,2.0,2.0,10696.47
2020-10-05 13:00:00,1.0,1.0,0.0,2.0,10731.05
2020-10-05 14:00:00,10.0,1.0,1.0,0.0,10726.64
2020-10-05 15:00:00,5.0,4.0,2.0,4.0,10727.47
2020-10-05 16:00:00,1.0,0.0,1.0,0.0,10746.0
2020-10-05 17:00:00,11.0,0.0,3.0,5.0,10695.49
2020-10-05 18:00:00,5.0,2.0,1.0,3.0,10716.17
2020-10-05 19:00:00,2.0,5.0,2.0,6.0,10736.72
2020-10-05 20:00:00,2.0,2.0,4.0,12.0,10742.82
2020-10-05 21:00:00,2.0,0.0,2.0,4.0,10740.0
2020-10-05 22:00:00,1.0,0.0,2.0,7.0,10753.72
2020-10-05 23:00:00,2.0,0.0,0.0,3.0,10795.0
2020-10-06 00:00:00,2.0,2.0,1.0,7.0,10758.46
2020-10-06 01:00:00,3.0,0.0,0.0,2.0,10768.78
2020-10-06 02:00:00,6.0,1.0,0.0,6.0,10763.45
2020-10-06 03:00:00,8.0,0.0,1.0,3.0,10769.31
