,Profits(All),Losses(All),prices
2020-09-30 08:00:00,1523124.5653847805,1061480.9824611065,10703.82
2020-09-30 09:00:00,808267.1299267884,1943594.7979241717,10691.87
2020-09-30 10:00:00,1867486.763469685,578556.026393071,10721.37
2020-09-30 11:00:00,2341732.449726306,3072917.106951585,10675.87
2020-09-30 12:00:00,4542630.299286413,695618.3139121598,10722.8
2020-09-30 13:00:00,2909986.2411581865,886775.3403134441,10737.07
2020-09-30 14:00:00,1706549.493978465,3502903.1866708715,10747.56
2020-09-30 15:00:00,1801243.2672587163,983075.4706196112,10780.83
2020-09-30 16:00:00,10183982.285288414,123397.89453175853,10787.11
2020-09-30 17:00:00,2244471.3543913537,2578580.028248935,10769.47
2020-09-30 18:00:00,851263.0601952412,1614405.270711335,10729.76
2020-09-30 19:00:00,990947.0359456139,1053792.2608535879,10708.57
2020-09-30 20:00:00,4299787.167188566,2093172.4817130263,10704.49
2020-09-30 21:00:00,2373325.350810832,1019886.4124874576,10707.38
2020-09-30 22:00:00,3724046.1303839874,6221625.2707482865,10743.92
2020-09-30 23:00:00,2487350.515219832,192252.50820144283,10779.63
2020-10-01 00:00:00,1530110.0707103354,439744.08336727455,10786.25
2020-10-01 01:00:00,3379515.6371155893,484413.2775953949,10840.58
2020-10-01 02:00:00,1318979.8436559374,595573.7958169719,10820.0
2020-10-01 03:00:00,1362123.13108095,468037.5593470001,10801.53
2020-10-01 04:00:00,443383.3341605476,455979.9580404061,10806.01
2020-10-01 05:00:00,1149629.9296874786,89666.82604870287,10823.65
2020-10-01 06:00:00,721835.3377987224,51789.96303611054,10823.35
2020-10-01 07:00:00,2482387.24996196,265572.13962546387,10828.54
2020-10-01 08:00:00,2306402.597945241,309948.82587878656,10878.07
2020-10-01 09:00:00,2416930.955239481,201942.71491459882,10901.23
2020-10-01 10:00:00,3351115.236192759,1447972.0764896816,10872.4
2020-10-01 11:00:00,2542010.1133745997,2773885.3755573784,10908.27
2020-10-01 12:00:00,2463322.9673708878,387311.04062983574,10889.61
2020-10-01 13:00:00,12698318.17996097,4908019.196345208,10863.99
2020-10-01 14:00:00,1020540.2226907557,294277.3695722692,10862.11
2020-10-01 15:00:00,1888708.9697644655,7691251.062107163,10715.98
2020-10-01 16:00:00,3156703.00188182,14553940.366014378,10509.58
2020-10-01 17:00:00,1231408.0736936217,4576728.277368275,10472.97
2020-10-01 18:00:00,8415215.98066658,3719452.056540964,10584.87
2020-10-01 19:00:00,4273869.520996615,3586213.464639362,10615.01
2020-10-01 20:00:00,3501448.2279880494,3679235.4274452315,10606.77
2020-10-01 21:00:00,401751.269756062,6224303.708252313,10581.9
2020-10-01 22:00:00,1554894.1664252423,820397.119090032,10603.94
2020-10-01 23:00:00,4686429.557265718,954180.6145292004,10617.63
2020-10-02 00:00:00,286737.7935100683,604546.0128713772,10593.16
2020-10-02 01:00:00,17528379.400448605,5415485.1549270265,10590.84
2020-10-02 02:00:00,846546.9281118442,1710723.882473731,10599.62
2020-10-02 03:00:00,2576197.1744837826,1298229.863432394,10647.0
2020-10-02 04:00:00,238622.64062060468,2607318.9516267846,10586.2
2020-10-02 05:00:00,137257.41105347636,1225758.2870214882,10437.92
2020-10-02 06:00:00,1256325.7636640787,4466534.361551729,10503.38
2020-10-02 07:00:00,1686794.3190723476,4192716.5975615922,10491.15
2020-10-02 08:00:00,6247221.445231666,9611510.89868333,10452.7
2020-10-02 09:00:00,911043.365398328,1259749.5367669063,10448.72
2020-10-02 10:00:00,1961567.5391740084,2495653.7420854527,10462.44
2020-10-02 11:00:00,785497.9025185688,2466316.1347588357,10437.02
2020-10-02 12:00:00,2478623.7021023133,3697975.343701656,10489.04
2020-10-02 13:00:00,9458092.878684398,4271421.781334852,10529.54
2020-10-02 14:00:00,3588215.039995164,16344335.44988821,10523.62
